Employee_ID,Department,Training_Program,Pre_Training_Score,Post_Training_Score,Feedback,Engagement (hrs),Sentiment_Score,Manager_Support_Rating,Learning_Style,Training_Difficulty,Trainer_Quality,Engagement_Support_Score,Score_Progress_Indicator,Training_Effectiveness,Motivation_Index,High_Performance,Improvement (%)
11,HR,Operations,74.8385167406049,79.0,Negative,10.195128957049292,0.5041379479596911,3,Visual,Easy,3,48.35367835055193,0.1762021800286046,1.9078736384676784,2.704252294227558,0,5.560616966553554
12,Operations,Operations,60.23608292365599,81.75126236353746,Positive,10.560181018098204,0.9404463214052936,2,Auditory,Hard,4,32.72800425397964,0.1282990965863768,4.616017281361708,3.988433634611281,1,35.71809187385258
13,IT,Tech,59.65119095422664,87.22035484494485,Positive,16.883915341591823,0.6177093940081104,4,Auditory,Medium,3,30.72350551550508,0.3324975365288956,2.972531556354112,2.495325800712128,1,46.2172899647107
14,Operations,Tech,66.27702249644531,79.0,Negative,9.91033241286444,0.539152875862797,3,Visual,Hard,2,34.96512558719441,0.3109622989984406,2.321750194001075,4.5,0,19.196664280199176
15,Sales,General,54.194760644939386,71.7342105382146,Negative,11.043268034141349,0.5862669697642048,3,Visual,Hard,2,27.271951184128664,0.0,1.8474021969335253,0.8645252374963512,0,32.36373716674587
16,HR,Leadership,66.90669540273136,80.0,Positive,19.13904771425436,0.8135102951243827,5,Visual,Medium,4,34.44489059737172,0.7972347370560984,5.024833428312632,2.0,1,19.569498266886647
17,Operations,Tech,64.33861927533297,80.0,Negative,19.47627243342891,0.4,4,Visual,Medium,4,71.23708899080967,0.392257803147101,4.166906158660601,4.727990735755873,1,24.34211504857628
18,HR,Tech,65.69574155610822,77.68339003442274,Positive,9.388332888583845,0.9,2,Auditory,Medium,2,24.80088737171181,0.2778176281927618,1.5380672720373951,1.5082348078572694,0,18.247223022935717
19,Finance,General,80.52583623099942,80.0,Negative,18.826109328883057,0.4208346213675722,2,Visual,Hard,3,39.54003125178791,0.4595752216740119,4.934853555877343,2.6579431720298228,1,-0.653003129940785
20,HR,Sales,67.81234363719588,59.79784765446591,Positive,7.892253374236511,0.8581740198259485,1,Auditory,Easy,2,24.059043948695624,0.3313634043707713,4.5,1.931998569330985,0,-11.818638838982585
21,Marketing,Tech,85.87934896297995,92.75025942958892,Negative,13.725115576126512,0.4495625095543024,5,Kinesthetic,Medium,2,45.03836803957973,0.4540800455364429,3.9738136685481567,3.1835732415336238,1,8.000655046384693
22,Finance,Operations,59.03726345308958,84.14144701433045,Positive,20.0,0.7743359027886044,4,Kinesthetic,Easy,3,65.69518058228562,0.7328905928960272,4.0294143977117125,2.799799880521705,1,42.522607066955956
23,Marketing,Operations,72.49130377783311,92.42231914070584,Positive,13.218149314821256,1.0,3,Visual,Hard,3,42.38312479159792,0.2474102533478424,4.391778067347373,2.62749324308886,1,27.49435356267847
24,Finance,Sales,72.46472700274195,79.0,Negative,17.81537472935586,0.3051025572209454,4,Visual,Easy,1,44.168313109573496,0.2755768590141613,3.807506731258667,3.587456086817094,0,9.018557396912243
25,Finance,Leadership,68.93102945404186,80.32975565148841,Positive,15.042806808192031,0.651933577244413,3,Kinesthetic,Easy,4,56.167748673250045,0.5492424930972171,4.947002223053516,3.748906743483273,1,16.53642240327541
26,IT,Tech,77.25933163697752,70.65373908166336,Negative,8.793163260782332,0.395305902070413,2,Auditory,Medium,4,18.28943775245137,0.0575905310458098,1.7491294962684902,3.8263716382748743,0,-8.549896064791508
27,IT,General,51.84308685558321,54.12354869608859,Positive,18.0,0.6837364618128123,3,Visual,Easy,1,42.86792493767671,0.3559728986677598,2.2964324974273738,2.2961902443968465,0,4.398777115371147
28,Marketing,Operations,72.83570566143906,62.45516354804538,Positive,8.875945606194211,0.6445162028210382,1,Visual,Hard,3,23.487097488776552,0.0,1.275008985187468,3.3516288387544773,0,-14.251996351412286
29,Marketing,General,71.76268792392167,80.0,Negative,8.44250649283585,0.5952199352307812,4,Auditory,Easy,2,46.3209377033526,0.3925115157786353,4.856175529405474,4.253750029400099,1,11.47854451161446
30,Operations,Tech,78.09474768097127,71.9203326201565,Positive,13.134831205065137,0.9,1,Auditory,Easy,2,26.94080312616855,0.5570923114286395,2.971902218122048,2.324967457838339,0,-7.9063128368609075
31,Marketing,Leadership,55.55110430231842,69.5031203692679,Positive,7.642812159397539,0.6454739759053205,3,Auditory,Hard,3,29.498275038438965,0.2843884401035376,4.5,3.2247752176514264,0,25.115641249938562
32,Marketing,Operations,76.46858781929973,50.0,Negative,12.71113366601032,0.5707036672186245,2,Visual,Hard,1,48.4284073949728,0.4528843585341481,2.4675792871793543,1.2196773033035515,0,-34.613674155781105
33,IT,Operations,66.2860884496325,76.0296564539153,Positive,7.568438177303991,0.6423183825848253,2,Auditory,Hard,3,47.20826871821888,0.0,1.7330693184786838,3.629151715551182,0,14.69926530917033
34,IT,Leadership,72.0271974685242,80.96319622048695,Positive,14.70872560905084,0.8394781878469163,5,Visual,Easy,2,58.8243953052215,0.2408863431423319,2.1820187806038565,4.096437061696411,1,12.406422943038674
35,Marketing,General,52.56327694229869,75.52093413116629,Negative,11.112801988110643,0.1785733395765324,3,Visual,Easy,4,43.1218514685156,0.179741728082919,2.8243586704939565,2.595467709798577,0,43.67622896508021
36,HR,Leadership,52.88334273419278,71.48326359253832,Negative,16.26601984120409,0.4442574303299069,3,Visual,Hard,2,38.0927304457422,0.3833776533650816,3.4613134082092136,2.7613189607976056,0,35.17160583406047
37,Finance,Operations,71.64538676495035,82.80582740910788,Negative,11.44151270451312,0.5805247335492565,4,Kinesthetic,Easy,4,68.10815100583605,0.1520626807691192,3.770707418333486,2.245439064753656,1,15.577333235386112
38,Finance,Sales,52.558797309632425,93.41852768986956,Positive,7.726517400935972,0.6733737608337864,2,Auditory,Easy,3,34.21205597047838,0.8,2.1248602459311634,4.195248328296158,1,77.74099193999022
39,HR,General,75.78261452733253,87.68101186867513,Positive,8.383367013177956,0.9792461762877676,4,Kinesthetic,Medium,3,31.72962739006053,0.2569498580584753,2.827602439716439,5.0,1,15.700695226147424
40,Marketing,Tech,79.6504855083925,50.61311228167399,Negative,10.23963145319057,0.4585259125861403,2,Kinesthetic,Medium,2,23.33790374101441,0.3853152363860977,2.035021449582985,2.7479261244599646,0,-36.45599024460302
41,IT,Operations,72.40216340921579,96.74022094754736,Negative,17.371697172772308,0.4,5,Auditory,Medium,4,15.0,0.4668293956903416,4.624797552243887,2.0,1,33.61509710804259
42,HR,Operations,71.56307183157399,79.0,Negative,11.114434412198996,0.4184255861541938,3,Kinesthetic,Hard,2,30.12550787946494,0.2347418498846398,4.185592276295317,2.5708439078403496,0,10.39213099450099
43,Marketing,Tech,73.80295113138027,80.0,Positive,9.010760972398897,0.7544154777794474,2,Auditory,Easy,4,38.358983059419,0.3263483626384668,3.243565199029532,3.09453360885618,1,8.396749416683974
44,HR,Operations,52.601127044406034,79.0,Negative,13.296988026092793,0.3477460709613459,2,Visual,Hard,2,23.55381707232648,0.2816325906404371,1.132551277205166,3.1196201078240398,0,50.18689605891515
45,HR,Tech,45.04488909450839,61.60019571060296,Positive,14.146208976126136,0.6616915599850421,2,Visual,Hard,3,17.96988179970993,0.4232885511015878,2.438498856941788,2.9263802823829805,0,36.752907930042824
46,Sales,Tech,59.777528145870285,53.83137573915566,Negative,7.216522947731814,0.3276662396034947,4,Auditory,Hard,2,28.66198994668785,0.4580183724855526,4.036236721526704,1.881341178022968,0,-9.947136643396675
47,Operations,Tech,72.69993575618503,80.0,Positive,7.0,0.868732397496682,2,Kinesthetic,Medium,4,59.00804099801709,0.1961006831737951,3.3240599482852358,2.993995016346627,1,10.041362716326626
48,IT,Sales,56.414006372626886,81.96726745702621,Negative,12.955698432990204,0.5281514590361474,2,Auditory,Easy,4,36.1302482499728,0.3055751551719839,2.0,4.0710330141184325,1,45.29595171031539
49,Sales,General,67.150215552346,59.263471826683656,Negative,5.0,0.280753931700072,2,Kinesthetic,Hard,1,23.019851391877225,0.5919276156306714,2.278713920354214,2.815523516818393,0,-11.74492689381517
50,HR,Leadership,56.905061828676565,89.40377516776705,Positive,13.226675643548914,0.6047688135530477,3,Auditory,Medium,2,42.99733711056829,0.2541001016638235,4.099292934353016,5.0,1,57.11040862574581
51,Finance,Sales,54.25335435019555,73.3519280892211,Negative,12.83354208591172,0.2957544018066442,1,Visual,Easy,4,37.09529287835592,0.2785282358092796,2.112116740501212,2.4814572426042627,0,35.20256759747559
52,HR,Tech,72.26725427338697,87.16965089003176,Positive,18.88336939939527,0.8069151453759542,4,Visual,Hard,3,41.39961097360471,0.2662522770148806,3.4320294354047074,3.178977744086554,1,20.62122985919603
53,Sales,Operations,56.97290132612974,78.4251739159852,Negative,7.376584674469633,0.5970011137486697,3,Kinesthetic,Hard,1,43.981663788571424,0.5824403782890831,3.8802913624519775,1.4721663936824343,0,37.653466982585826
54,HR,Leadership,70.35700711061749,54.637302258969335,Negative,5.0,0.4183935543257872,4,Kinesthetic,Easy,1,18.94976367208226,0.2950871115940388,1.965175247902862,1.933605967688817,0,-22.342770815894912
55,Operations,Operations,73.4129306715891,84.80088510405734,Negative,10.563135259274103,0.4,2,Visual,Easy,4,39.94049859877384,0.5683532700031837,2.739718357014401,3.2680603777438733,1,15.512191555751912
56,Marketing,Sales,53.121210899946064,85.16124463724461,Positive,15.795559891737824,0.8208273133418266,3,Auditory,Easy,3,27.58658735577468,0.6301401245580853,4.070370538646516,4.778275936007361,1,60.314953658805
57,HR,Operations,67.1001835706078,67.93974354392874,Negative,9.303497477940564,0.4907228404641077,4,Visual,Medium,1,33.31222099821542,0.5080417832313336,3.705288722313476,2.642974353936937,0,1.2512036907283535
58,Marketing,Operations,73.93083079454607,79.0,Negative,5.992491280822129,0.470013751747939,3,Visual,Medium,3,23.930892875243515,0.1739741966118068,3.953125189238381,2.3026620152088246,0,6.8566376854889715
59,Marketing,Leadership,65.29687009249503,79.0,Positive,5.857798651365198,0.6448570532089257,2,Kinesthetic,Medium,4,43.276631267125616,0.1905016235388283,4.2496194930070015,1.6039071355737238,0,20.985890882815774
60,Marketing,Sales,73.04358604022991,77.60438342900473,Positive,11.052460299786418,0.7538636296631016,4,Auditory,Hard,1,22.07018313738537,0.3165574192412519,2.9802443939516627,1.5913185519532016,0,6.243939592810907
61,Sales,Sales,63.29103226231676,86.64368245748535,Negative,11.54064267653368,0.5375541299042533,3,Kinesthetic,Medium,3,36.26260778431052,0.3897428349075869,2.640236146432223,4.019420813911186,1,36.897249674141705
62,Operations,Sales,68.73124967809386,83.75732813068531,Negative,14.018865079185051,0.5844100903648587,5,Visual,Medium,4,32.73692444348649,0.394494479406843,4.047480207302526,4.221133953804134,1,21.862076599751664
63,IT,Leadership,87.7898329866683,80.0,Positive,10.341807657606548,0.8213439407957508,3,Visual,Medium,3,30.18115049447926,0.4020454224501735,3.804325850729823,4.593333780187922,1,-8.873274639731072
64,IT,General,65.71988399274073,68.69595436952036,Positive,16.531474433986013,0.693084742795189,3,Visual,Hard,3,14.789256083042895,0.1181778697075869,1.6194415716731778,2.994108449164688,0,4.528416966025627
65,Sales,Tech,72.685471766475,79.0,Negative,5.258554377936887,0.0,3,Visual,Medium,2,29.672160148051603,0.2057078690674036,2.307580187308165,2.1720392659202097,0,8.68746955899579
66,Finance,Tech,61.802031390859256,68.7484487229286,Negative,14.433088058880978,0.2864319734247673,2,Auditory,Medium,4,23.58569962604617,0.5176814083456793,1.2404693241567524,2.024006116312241,0,11.23978803890376
67,IT,Operations,68.46976525867665,91.27152990178568,Negative,13.62850593525053,0.4746085392735624,4,Auditory,Easy,4,36.63458064468167,0.1,3.2643343423582527,3.08733884682132,1,33.30194657008781
68,Operations,Leadership,77.27454994866183,80.0,Positive,18.60344534571543,0.9766608915811344,2,Visual,Hard,3,33.923876896032354,0.1657003522767657,3.626775773535934,3.160832467620904,1,3.526969814963469
69,Finance,General,74.32647673061557,72.94717440211986,Positive,7.147947078616549,0.7261906668308097,4,Visual,Medium,2,20.58603278278866,0.5624680865573927,3.691238605313357,0.798995388362912,0,-1.8557348460021483
70,Operations,Tech,65.65688194041235,80.0,Positive,9.3134212100504,0.7163095025270594,4,Auditory,Hard,4,34.37042178608562,0.4152741814247017,4.239866665208379,2.264051848117238,1,21.845566886049987
71,Finance,Operations,68.49077391462873,94.94786796732534,Positive,8.5471743744691,0.9655203831539446,3,Kinesthetic,Easy,4,38.667169895064006,0.2336275722543298,3.648781307901944,2.0,1,38.62869776544562
72,HR,Operations,78.07039661050993,63.13812796594603,Positive,11.517277970098812,0.7621657712384944,3,Visual,Hard,2,37.04254934835989,0.2276881042894386,3.736041388573488,3.797906937847879,0,-19.126671943349262
73,Sales,Operations,73.01732385926545,95.41330849395744,Positive,10.011459129267378,0.7129937319580767,4,Kinesthetic,Easy,2,64.99178525981866,0.2501517446133717,3.4449048468105623,3.306850563611205,1,30.672152101682492
74,Operations,Operations,81.50021623646013,83.35060091586975,Positive,13.788778833785456,0.7604546087009607,3,Kinesthetic,Easy,3,26.970522232020624,0.1431585339911043,4.285310797875683,4.912630223182976,1,2.2704046257264068
75,Operations,Tech,52.19981915675456,81.78508105962952,Positive,14.513345225371554,0.9025572816008228,3,Auditory,Medium,2,30.85488860739681,0.6657421455984647,3.147816561442002,5.0,1,56.67694329367554
76,IT,Leadership,56.52477471737926,67.90005116609804,Positive,10.23622108458668,0.6223587117015787,2,Kinesthetic,Hard,3,39.51672885458876,0.6,1.503570457505376,2.946683711834967,0,20.124408289275863
77,HR,Tech,56.74583787836667,72.83814192722953,Negative,9.843077081295023,0.5402003220969357,4,Auditory,Hard,2,36.412021932855424,0.5107820166421247,1.734908436684871,3.494516677452972,0,28.358562760772553
78,Sales,Operations,77.58485001994178,83.76363697622779,Positive,11.384436547301602,0.6958636354631204,3,Visual,Easy,3,42.6093781520907,0.5806119171068276,3.1208965401697637,4.0472206840514335,1,7.963909132643626
79,IT,Leadership,60.83058014128158,89.57623023762565,Negative,8.083931213398436,0.4,2,Auditory,Hard,3,47.32247490693895,0.1,3.754980812742182,2.656203576167865,1,47.25526212240799
80,Operations,Sales,67.04939543702352,79.0,Negative,7.460874199126233,0.2014900582691612,2,Kinesthetic,Hard,2,45.53713626123197,0.3414056882743526,2.224999468432072,1.43655697268464,0,17.82358287510757
81,Marketing,General,72.32983095854233,88.5670608233193,Positive,18.470122970169214,0.6783111406517158,4,Kinesthetic,Easy,3,38.54998132274734,0.6254797388712114,2.151333339948612,4.177076076046385,1,22.448870195872214
82,IT,Tech,54.68787668332573,53.69541370195918,Negative,15.471972825814802,0.4663886140163111,2,Auditory,Medium,4,45.80381958415615,0.1439177596226862,2.504799539419482,1.812518406615581,0,-1.8147769515965706
83,IT,General,50.899217835822974,94.58337977388156,Positive,7.0,0.6426621338960036,4,Visual,Easy,3,15.0,0.6113414636420168,3.869634112112497,5.0,1,85.8248197034446
84,Finance,Sales,79.55475973446025,87.11387149035461,Positive,15.348816044033232,0.9620399645561126,3,Auditory,Easy,4,40.223774941593454,0.3154056491804461,2.651329290037554,3.587644168873999,1,9.501771837568668
85,Marketing,Sales,75.61846591725012,76.7447843871031,Positive,6.5053907171081455,0.9,2,Visual,Hard,2,27.932919183360283,0.4724650897840916,1.4859695571300793,1.7632407160910744,0,1.4894754293025658
86,HR,General,63.95984655932743,78.79061422114876,Negative,8.722907602612045,0.4136857034714528,3,Visual,Easy,2,7.244646640881843,0.2782927457545164,3.168762548899119,3.994252533934697,0,23.187622328119105
87,HR,Operations,64.01589467221977,80.0,Positive,7.03084785520731,0.9445758799771056,2,Visual,Medium,3,30.052575176725867,0.4120148265449305,2.86844687763981,2.686646538334924,1,24.968963426385827
88,IT,Tech,66.30300106769162,87.84326110594282,Positive,16.470837971902792,0.9727764682621088,4,Auditory,Easy,2,44.42408868836673,0.6591656338910592,3.5181366542533894,4.59660774930208,1,32.4876094466068
89,HR,Sales,77.41599174876087,82.23215841760828,Negative,12.154239334627205,0.5373452695081833,3,Auditory,Medium,3,61.09367746647335,0.2275815668073064,3.4538297452947355,3.2015489020773757,1,6.22115219356405
90,HR,General,57.382928584473554,96.347046202903,Positive,7.0,0.7840671411221188,2,Visual,Easy,2,51.12295372748216,0.4547685878981096,3.315791864891077,3.999885258043693,1,67.90193282148414
91,IT,Sales,82.9686864428643,81.96402740175037,Positive,13.600602243554434,0.94473864755117,2,Kinesthetic,Easy,3,57.85012681901589,0.1,3.5384247057324285,3.726991322258064,1,-1.2108894140511373
92,Sales,General,66.02651083986916,79.0,Negative,12.039882694180864,0.2848175422068362,3,Auditory,Hard,2,29.211679432971284,0.53606047249986,3.191276157512334,1.5862475870587027,0,19.64890919587558
93,Sales,Leadership,66.57812121958206,69.39964899186027,Negative,5.0,0.3213366263321471,2,Visual,Hard,3,33.18580973827406,0.2543154773054211,1.5199828079599562,3.52035217689724,0,4.237920386747628
94,Finance,Operations,64.77816693292796,71.71154860097401,Positive,9.190844210124832,0.6381562853714555,3,Auditory,Hard,2,38.04374549999413,0.1735189238842256,2.46456450339649,3.8679560851486015,0,10.703269321012053
95,IT,Sales,65.22356078540435,80.5876641398748,Positive,12.517965757146172,0.6450920629352226,2,Auditory,Easy,3,51.92051882549084,0.159880720117871,2.9935554040639496,2.751283816012512,1,23.556063436985212
96,IT,Tech,56.84610704274704,88.63964179557274,Positive,7.089224698160301,0.9076255131423012,2,Auditory,Easy,2,42.77241860661579,0.3619116444606593,4.065715826732206,4.104526246850699,1,55.92913289368725
97,Operations,Tech,69.94777171686422,54.693651865733976,Negative,9.582058166355882,0.5482668348371825,4,Auditory,Hard,2,40.476558559602914,0.2562943765104123,2.833364993423329,4.5,0,-21.807871039661038
98,HR,Operations,56.72720362697176,86.35952932446455,Positive,20.0,0.8086508167187406,3,Visual,Easy,3,58.45721129735944,0.3490797622850133,4.154623400680112,4.135920854809834,1,52.23653521218817
99,Sales,Tech,76.05483067310122,80.0,Positive,18.270844898802668,0.9998226792268416,4,Kinesthetic,Easy,4,46.31309536139642,0.6575836905408861,2.873954420438091,2.869354555348598,1,5.187269884086522
100,IT,Operations,65.15750746979116,84.84493305751812,Positive,9.821414291596977,0.6876210045409786,2,Visual,Easy,3,62.63468554208984,0.4443801593750121,4.919892119932359,2.8882980318266065,1,30.215130001488475
101,Finance,General,64.68268869855952,80.75721621868024,Positive,11.36839439003359,0.7023742832153523,2,Visual,Hard,3,36.94220761869087,0.362510098371143,3.86051577432614,4.298636607143323,1,24.85135952686318
102,HR,Leadership,71.15105228468599,80.0,Positive,12.096523590934993,0.8277914471202206,3,Auditory,Medium,3,17.21682149266031,0.5101411408346225,3.6446021955871486,4.488556068879168,1,12.4368472864014
103,Operations,Leadership,65.84912157851228,84.68911159876922,Positive,19.764520641439933,0.8404262808374767,2,Kinesthetic,Medium,4,46.688425575160736,0.1,2.0,2.9946340667947124,1,28.61084486570395
104,Marketing,Sales,56.88763213283848,80.0,Positive,10.943811784536395,0.8410691784701021,3,Auditory,Easy,3,37.582850272697925,0.8,4.803633261372432,4.607922151652966,1,40.628106673857964
105,IT,General,71.49941127971564,82.00450866969862,Positive,13.429412239708986,0.8833451938451087,4,Auditory,Hard,2,30.538254020293014,0.1324490849775704,4.752346771285627,4.092648225198495,1,14.692564878451343
106,IT,Tech,74.58261946388244,92.89418864982768,Positive,13.765825239798586,0.9210726628256176,3,Auditory,Medium,5,52.059037627649374,0.1084250858627831,3.228769905132854,4.143631425688399,1,24.55205960527151
107,Finance,General,75.45083307239084,83.59506156377955,Positive,20.0,0.8155611031987566,3,Auditory,Easy,4,41.20868798618213,0.3958000337732317,4.419124726762223,2.5153290680308213,1,10.794086903685725
108,Marketing,Tech,75.90264536157319,85.48853217606356,Positive,20.0,0.9285905977652296,2,Kinesthetic,Medium,4,51.37428057857666,0.5206881428196354,4.41614229795192,4.335826827579457,1,12.629186728376347
109,Sales,Sales,67.36673220181224,90.88632484288848,Positive,20.0,0.6391446534919512,3,Auditory,Medium,3,37.83257784600992,0.5678887902625493,5.442124984231054,4.413113977076837,1,34.91277055063024
110,Sales,General,79.52532187987919,80.0,Positive,8.084971573852272,0.9228922432145128,3,Auditory,Medium,2,41.69777367028184,0.3962642425677981,2.2827285947379368,4.250783004597233,1,0.5968892786599493
111,IT,Sales,77.21246777350905,85.93779634973525,Positive,11.1721935539012,0.6492858037555134,3,Visual,Hard,3,24.45057255101861,0.561134156521623,3.180774886097345,2.0,1,11.300414075380441
112,IT,Leadership,71.36795234991791,53.38792028825196,Negative,14.18674862746346,0.4032731463278622,2,Kinesthetic,Easy,3,42.54800352742231,0.400546133043367,2.6059771161278933,3.853745719252412,0,-25.193425717904365
113,HR,Tech,71.44720489010055,79.0,Negative,7.5538187378641375,0.574396580184297,3,Visual,Hard,1,38.32258530546764,0.1245999701796756,2.9129139932107218,2.7831520878821863,0,10.57115547279574
114,Operations,Operations,60.37775626965583,85.2130158572166,Positive,15.034371919641316,0.8679102787303358,3,Visual,Easy,3,73.25496164317973,0.2182099157497095,4.096146807833125,2.909519557525189,1,41.13312769796031
115,Sales,General,67.33369697242682,100.0,Negative,8.589309665389232,0.5167455221982072,3,Visual,Easy,3,35.873025896914626,0.3022317582518863,4.185833555460501,3.320690117186003,1,48.514049423054914
116,Finance,Sales,50.0,80.75475203151493,Positive,17.089265592090843,0.737678349004498,3,Auditory,Easy,2,35.40837351667515,0.3314742235711818,5.5,3.181499949007039,1,61.50950406302985
117,Sales,Operations,58.12027514227403,79.0,Positive,9.960188019797934,0.9,2,Visual,Hard,3,24.904512627514627,0.1197568203914108,2.1939298291234275,1.7101609415010437,0,35.92502755125295
118,Operations,Sales,73.30735665657124,80.0,Negative,13.550614367755104,0.4534212580609186,3,Auditory,Hard,5,50.379133286380686,0.8,3.6240469927588577,4.11991406548557,1,9.12956577439057
119,Sales,Operations,58.694578848094416,79.0,Negative,5.558403323651368,0.1977468018840457,4,Kinesthetic,Hard,3,6.905638545383983,0.4011669398722363,2.9143448268620493,0.0,0,34.59505383701177
120,HR,General,60.04147855300407,80.0,Positive,7.0,0.8961037378350887,2,Kinesthetic,Medium,4,15.0,0.3153203972698939,3.030261591482048,4.195045230388793,1,33.24122244820592
121,IT,Leadership,85.3848706097304,85.03199026583296,Negative,18.3631243573128,0.5941172605368318,3,Auditory,Medium,3,41.616760931598925,0.2527112249924602,4.926079839888446,2.802936295076414,1,-0.41328205029478055
122,Finance,Operations,68.78122816048214,90.41936233762792,Negative,11.938432812717272,0.5194999366380403,4,Visual,Easy,2,42.50535077353377,0.3443071243107221,5.5,4.279059174669117,1,31.459359996682696
123,IT,General,53.47890987346573,80.0,Negative,8.820606626983995,0.5784942494662072,4,Kinesthetic,Medium,3,47.92354900187294,0.2150756322295977,5.163525229729904,3.847615992791781,1,49.591680513467345
124,Sales,Leadership,77.91477034504537,89.8517619852222,Positive,13.078751974738418,1.0,3,Auditory,Medium,3,49.59527091395572,0.3475826868686336,5.180202289753693,5.0,1,15.320576043943774
125,Operations,General,68.73114131286918,80.0,Positive,13.656231248082005,0.7178107205093505,3,Visual,Hard,2,15.0,0.4463045424938141,4.799683951737586,3.6240577865445056,1,16.395564618713586
126,Sales,Sales,65.81123122938749,84.27359010211691,Positive,13.78069028795872,0.7409161490641115,3,Kinesthetic,Medium,3,44.68551080317082,0.4680430892536966,3.781075301017237,3.721571134385045,1,28.053507779512877
127,HR,Tech,65.20314592516729,79.0,Positive,12.185806394973648,0.9,3,Kinesthetic,Easy,2,32.314939880592945,0.5550989299652345,3.8004582907179785,2.497076291213961,0,21.15979816474984
128,Sales,Leadership,67.59455787623159,56.36571843157789,Negative,14.342783656637824,0.5134673960640685,3,Auditory,Hard,2,23.273111298771607,0.2751322985252499,3.881214464249548,3.347936847572266,0,-16.61204658696661
129,Sales,General,62.32639337517347,81.81485750226021,Negative,11.23477678777519,0.5672149570572975,5,Auditory,Easy,3,49.16568817708903,0.2747891760423872,3.580427876185389,5.0,1,31.26839701725722
130,Sales,Sales,52.77115779375365,80.0,Positive,11.227280683889727,0.6864662653775556,3,Auditory,Medium,4,36.219482647337216,0.1,3.645457218472503,3.1476922705267607,1,51.5979624943331
131,IT,General,49.74158606446065,76.27724776049712,Negative,11.992302800922282,0.575155462993994,2,Kinesthetic,Hard,2,49.90543325102151,0.5548160522664681,2.418735979522395,2.2476068690302906,0,53.34703574117766
132,IT,Sales,60.858277088347,72.21804555013395,Negative,8.33027316839818,0.4736171633379188,3,Visual,Hard,2,38.928071835650606,0.4104985664098701,2.1510455611174373,2.748306122525112,0,18.665938316485946
133,Sales,Tech,65.42036471434008,54.20452840883776,Positive,5.0,0.660628867082015,3,Visual,Medium,4,29.07017897987976,0.4501912187262844,1.050755417932649,2.7547767943055037,0,-17.144258297055657
134,IT,Operations,69.79993725597996,61.64301420347039,Negative,8.970913545447537,0.4594205855982829,1,Kinesthetic,Hard,2,26.78217534118285,0.6,4.0387330764741005,3.30724094800448,0,-11.68614668319166
135,Sales,Sales,60.70526706279088,79.0,Negative,16.510220237887903,0.3956717850843783,3,Visual,Easy,2,21.950812531958608,0.2604053196253981,2.3984869598845417,2.783270606614121,0,30.136977930244246
136,Marketing,Tech,61.22874320091435,80.0,Negative,12.2936133493706,0.5473690352283345,5,Visual,Hard,3,48.62433082799906,0.125738447135971,4.201310118980166,3.509022875086523,1,30.657589585809642
